# QT Clean v2 real-person names from Wikidata structured data (CC0-1.0)
# Format: source<TAB>Vietnamese/Latin target<TAB>type<TAB>provenance
吉行由實	Yumi Yoshiyuki	person_name_japanese	wikidata:Q210840:japan
吉野正芳	Masayoshi Yoshino	person_name_japanese	wikidata:Q49949:japan
后三条天皇	Go-Sanjō	person_name_japanese	wikidata:Q45844:japan
后伏见	Go-Fushimi	person_name_japanese	wikidata:Q440454:japan
后光严天皇	Go-Kōgon	person_name_japanese	wikidata:Q555465:japan
后小松天皇	Go-Komatsu	person_name_japanese	wikidata:Q123052:japan
后村上	Go-Murakami	person_name_japanese	wikidata:Q440447:japan
后樱町天皇	Go-Sakuramachi	person_name_japanese	wikidata:Q230525:japan
吾妻兼治郎	Kenjirō Azuma	person_name_japanese	wikidata:Q139095:japan
和田恵美	Emi Wada	person_name_japanese	wikidata:Q440027:japan
嘉田由紀子	Yukiko Kada	person_name_japanese	wikidata:Q152728:japan
嘉田由纪子	Yukiko Kada	person_name_japanese	wikidata:Q152728:japan
园子温	Sion Sono	person_name_japanese	wikidata:Q179463:japan
園子温	Sion Sono	person_name_japanese	wikidata:Q179463:japan
園子溫	Sion Sono	person_name_japanese	wikidata:Q179463:japan
土居美咲	Misaki Doi	person_name_japanese	wikidata:Q34256:japan
土本典昭	Noriaki Tsuchimoto	person_name_japanese	wikidata:Q555524:japan
土肥原賢二	Kenji Doihara	person_name_japanese	wikidata:Q74296:japan
土肥原贤二	Kenji Doihara	person_name_japanese	wikidata:Q74296:japan
坂井一将	Kazumasa Sakai	person_name_japanese	wikidata:Q550641:japan
坂井一將	Kazumasa Sakai	person_name_japanese	wikidata:Q550641:japan
坂井真紀	Maki Sakai	person_name_japanese	wikidata:Q456644:japan
坂井真纪	Maki Sakai	person_name_japanese	wikidata:Q456644:japan
坂口健司	Kenji Sakaguchi	person_name_japanese	wikidata:Q47327:japan
坂口安吾	Ango Sakaguchi	person_name_japanese	wikidata:Q132111:japan
坪井庆介	Keisuke Tsuboi	person_name_japanese	wikidata:Q558804:japan
坪井慶介	Keisuke Tsuboi	person_name_japanese	wikidata:Q558804:japan
垰畑亮太	Ryota Taohata	person_name_japanese	wikidata:Q120060:japan
城岛光力	Koriki Jojima	person_name_japanese	wikidata:Q552388:japan
城島光力	Koriki Jojima	person_name_japanese	wikidata:Q552388:japan
堀江由衣	Yui Horie	person_name_japanese	wikidata:Q50033:japan
堂上直伦	Naomichi Donoue	person_name_japanese	wikidata:Q181416:japan
堂上直倫	Naomichi Donoue	person_name_japanese	wikidata:Q181416:japan
塚原光男	Mitsuo Tsukahara	person_name_japanese	wikidata:Q439417:japan
增冈浩	Hiroshi Masuoka	person_name_japanese	wikidata:Q254665:japan
增岡浩	Hiroshi Masuoka	person_name_japanese	wikidata:Q254665:japan
增田裕生	Yūki Masuda	person_name_japanese	wikidata:Q130236:japan
士貴智志	Satoshi Shiki	person_name_japanese	wikidata:Q27286:japan
士贵智志	Satoshi Shiki	person_name_japanese	wikidata:Q27286:japan
壽美菜子	Minako Kotobuki	person_name_japanese	wikidata:Q50029:japan
夏目房之介	Fusanosuke Natsume	person_name_japanese	wikidata:Q82433:japan
夏目漱石	Natsume Sōseki	person_name_japanese	wikidata:Q180903:japan
夏菜	Natsuna Watanabe	person_name_japanese	wikidata:Q26962:japan
多猪四郎	Ishirō Honda	person_name_japanese	wikidata:Q150840:japan
多豬四郎	Ishirō Honda	person_name_japanese	wikidata:Q150840:japan
大久保長安	Ōkubo Nagayasu	person_name_japanese	wikidata:Q133746:japan
大久保长安	Ōkubo Nagayasu	person_name_japanese	wikidata:Q133746:japan
大冢爱	Ai Otsuka	person_name_japanese	wikidata:Q231479:japan
大后寿寿花	Suzuka Ohgo	person_name_japanese	wikidata:Q259428:japan
大场鸫	Tsugumi Ohba	person_name_japanese	wikidata:Q558858:japan
